2000,Global Biogeochemical Cycles,Chemical,carbon dioxide,,,,,,,,,
2000,Global Biogeochemical Cycles,Chemical,nitrous oxide,oxygen,,,,,,,,
2000,Nature,Chemical,carbon dioxide,,,,,,,,,
2000,Global Biogeochemical Cycles,Chemical,carbon dioxide,,,,,,,,,
2000,Global Biogeochemical Cycles,Chemical,nitrous oxide,oxygen,,,,,,,,
2001,Global Biogeochemical Cycles,Chemical,carbon dioxide,carbon-14,,,,,,,,
2001,Global Biogeochemical Cycles,Chemical,nitrogen,iron,,,,,,,,
2001,Science,Chemical,carbon dioxide,,,,,,,,,
2001,Global Biogeochemical Cycles,Physical,carbon dioxide,oxygen,,,,,,,,
2001,Global Biogeochemical Cycles,Chemical,oxygen,carbon dioxide,,,,,,,,
2002,Deep-Sea Research II,Physical,carbon,,,,,,,,,
2002,Deep-Sea Research II,Chemical,carbon dioxide,,,,,,,,,
2002,Book,Chemical,nitrogen,carbon,phosphorus,oxygen,,,,,,
2002,Nature,Chemical,carbon dioxide,,,,,,,,,
2002,Ocean Modelling,Chemical,carbon dioxide,CFC,,,,,,,,
2002,Geophysical Research Letters,Chemical,silicon,nitrate,iron,nitrogen-15,nitrogen-14,silicon-30,phytoplankton,,,
2002,Global Biogeochemical Cycles,Chemical,silicon,nitrogen,carbon dioxide,phytoplankton,iron,calcium carbonate,,,,
2002,Physics Today,Chemical,carbon dioxide,,,,,,,,,
2002,EOS Transactions,Chemical,calcium carbonate,carbon dioxide,calcite,aragonite,phytoplankton,zooplankton,,,,
2002,Journal of Geophysical Research,Chemical,carbon dioxide,,,,,,,,,
2002,Global Biogeochemical Cycles,Chemical,calcium carbonate,carbon,phytoplankton,invertebrates,,,,,,
2003,Geophysical Research Letters,Chemical,carbon dioxide,,,,,,,,,
2003,Science,Chemical,carbon dioxide,CFC,,,,,,,,
2003,Global Biogeochemical Cycles,Chemical,carbon dioxide,,,,,,,,,
2003,Global Biogeochemical Cycles,Chemical,carbon dioxide,phosphate,,,,,,,,
2003,Global Biogeochemical Cycles,Chemical,carbon dioxide,iron,organic matter,,,,,,,
2003,Tellus,Chemical,carbon dioxide,,,,,,,,,
2003,Tellus,Chemical,carbon dioxide,,,,,,,,,
2003,Tellus,Chemical,carbon dioxide,,,,,,,,,
2003,Tellus,Chemical,carbon dioxide,,,,,,,,,
2003,Journal of Geophysical Research,Chemical,iron,carbon dioxide,phytoplankton,,,,,,,
2003,Book,Chemical,carbon dioxide,,,,,,,,,
2004,Nature,Chemical,silicon,nitrate,,,,,,,,
2004,Geophysical Research Letters,Chemical,carbon-14,CFC,carbon dioxide,,,,,,,
2004,Energy,Chemical,carbon dioxide,,,,,,,,,
2004,Book,Chemical,carbon dioxide,CFC,carbon-14,,,,,,,
2004,Book,Economics,carbon dioxide,,,,,,,,,
2004,Global Biogeochemical Cycles,Biological,chlorophyll,,,,,,,,,
2004,Global Biogeochemical Cycles,Physical,carbon dioxide,CFC,,,,,,,,
2004,Global Biogeochemical Cycles,Physical,carbon-14,oxygen,,,,,,,,
2005,Nature,Biological,calcium carbonate,carbon dioxide,,,,,,,,
2005,Global Biogeochemical Cycles,Chemical,carbon,chlorophyll,phytoplankton,organic matter,,,,,,
2006,Geophysical Research Letters,Chemical,carbon dioxide,,,,,,,,,
2006,Global Biogeochemical Cycles,Chemical,carbon dioxide,CFC,,,,,,,,
2006,Geophysical Research Letters,Chemical,carbon dioxide,,,,,,,,,
2006,Global Biogeochemical Cycles,Chemical,phytoplankton,carbon,calcium carbonate,nitrate,silicon,nitrogen,phytoplankton,,,
2006,Nature,Chemical,carbon dioxide,,,,,,,,,
2006,Tellus,Chemical,carbon dioxide,,,,,,,,,
2006,Nature,Biological,phytoplankton,carbon,carbon dioxide,nitrogen,phosphate,iron,,,,
2007,Nature,Chemical,nitrogen,iron,phosphorus,,,,,,,
2007,Global Biogeochemical Cycles,Chemical,carbon dioxide,,,,,,,,,
2007,Global Biogeochemical Cycles,Chemical,carbon dioxide,,,,,,,,,
2007,Global Biogeochemical Cycles,Chemical,carbon dioxide,,,,,,,,,
2007,Global Biogeochemical Cycles,Chemical,silicon,nitrate,phytoplankton,silicon,organic matter,,,,,
2007,Science,Chemical,iron,phytoplankton,carbon,nitrogen,silicon,sulfur,,,,
2007,Global Biogeochemical Cycles,Chemical,carbon dioxide,carbon-14,,,,,,,,
2007,Global Biogeochemical Cycles,Chemical,oxygen,carbon,CFC,carbon-14,,,,,,
2007,Book,Chemical,carbon dioxide,,,,,,,,,
2007,Global Biogeochemical Cycles,Chemical,carbon,silicon,calcium carbonate,nitrogen,lithogenic material,,,,,
2008,Climatic Change,Chemical,carbon dioxide,,,,,,,,,
2008,Paleoceanography,Chemical,silicon,carbon dioxide,calcium carbonate,silicon,phytoplankton,nitrogen,,,,
2008,Nature Geoscience,Chemical,radium-228,,,,,,,,,
2008,Global Biogeochemical Cycles,Chemical,carbon dioxide,,,,,,,,,
2008,Global Biogeochemical Cycles,Chemical,carbon dioxide,soft-tissue,,,,,,,,
2008,Journal of Geophysical Research,Chemical,carbon dioxide,soft-tissue,,,,,,,,
2009,Fish and Fisheries,Biological,fish,invertebrates,,,,,,,,
2009,Global Biogeochemical Cycles,Chemical,carbon dioxide,,,,,,,,,
2009,Journal of Geophysical Research,Biological,phytoplankton,chlorophyll,,,,,,,,
2009,Ecological Modelling,Biological,fish,,,,,,,,,
2009,Nature,Chemical,carbon dioxide,carbon,oxygen,,,,,,,
2009,Journal of Geophysical Research,Chemical,carbon dioxide,oxygen,,,,,,,,
2009,Nature Geoscience,Chemical,carbon dioxide,,,,,,,,,
2010,Global Change Biology,Biological,fish,invertebrates,,,,,,,,
2010,Biogeosciences,Biological,chlorophyll,,,,,,,,,
2010,Biogeosciences,Chemical,carbon dioxide,,,,,,,,,
2010,Atmospheric Chemistry and Physics,Chemical,carbon dioxide,,,,,,,,,
